tconst	directors	writers
tt1759688	nm1046277	
tt1814652	nm4258903	
tt18233492	nm5638128	
tt18375192	nm13449683	nm13449683
tt18921450		nm9335400,nm1787627
tt1920250		
tt1949781		
tt19880894		nm0253107,nm2371315
tt2013246	nm4560974	nm4560974
tt20231168		
tt20355544	nm1989310	nm2798165
tt20753994	nm13708739,nm13711994	nm13711996
tt20918884		
tt2122351	nm1665295	nm1665295
tt21262622	nm10454527	
tt21606118	nm5236446	
tt21895698		
tt21972834	nm13889133	
tt2220989	nm0053484,nm0360253	nm0070824
tt2248981	nm1387060	nm1387060
tt2254459	nm1410979	
tt2263054		
tt22741054		
tt2296693	nm0003650	
tt2299993	nm3148014	
tt23458154	nm3915164,nm1715450,nm0771459,nm2256152,nm0607574,nm4512277,nm0770212,nm2103340,nm5400067,nm2746566,nm12024651,nm8103688,nm2137304,nm13312978,nm1361162,nm2215886,nm4758404	nm1715450,nm2310670,nm4811782,nm12024651,nm1294706,nm9752218
tt23667890	nm0733343	nm0106039
tt23870752	nm5970972,nm16329853,nm16709836,nm14442939	nm12908215,nm7450290,nm4614038,nm7450289,nm1939626,nm4726661,nm5970972
tt24202040		
tt24829662	nm9686251	nm12229737
tt2500518		
tt26253082	nm1326561	nm7447206,nm0691672
tt2626048	nm0129574	nm0806912,nm0127373,nm5877803,nm0330462,nm0564664,nm0005277,nm0644022,nm0721675,nm0725200,nm0821786
tt2629344		
tt26451857	nm1621355,nm1396937	
tt26537206	nm0735416	
tt26733367	nm1701455	nm1701455
tt2731574	nm0176686	nm0360141,nm0914844
tt2731690		
tt27523496	nm1990561	nm9405027,nm1427308,nm4257576,nm7798609
tt27677945		
tt27874910	nm0286601	nm2673006,nm1539236,nm0493069
tt27989431		
tt28101798	nm12020680,nm4554346	nm2190786,nm6352729,nm8013740,nm9494677
tt2823082	nm5614929	
tt28268015	nm6031744	nm6031744
tt28277104	nm0467226	nm0244405,nm0763126
tt2839816		
tt28468247		
tt28600432	nm12847235	nm12847235
tt28632934		
tt28639731		
tt29272319		
tt2930716	nm3987336	nm3987336
tt29578473	nm14115405	nm10538563
tt29981183	nm4138600	
tt30197644	nm12392036	
tt30210261		
tt30224247		nm1145003
tt30267062	nm1622543	nm14738848,nm1622543
tt30279823		
tt30333756		
tt30334275	nm13049480,nm10806364	
tt3048568		
tt30489285		
tt30802417		
tt30828135		
tt30869363	nm13938395	nm3663895
tt31961273		
tt32097532		
tt3221782		
tt32253474		
tt32294338		
tt32383362		
tt3239258		
tt32411108	nm8978076	
tt32436939		
tt32564678		nm12605048,nm12059976
tt3263214	nm6018292	nm6018292
tt32636716		
tt32693962		
tt32729811		
tt32776633	nm1203829	nm1203829
tt33022119		
tt33037902	nm16377491	
tt33295881		
tt33311272		
tt33398270		
tt33514937		
tt34339403		
tt34459181		
tt34625727		
tt34691503		
tt35027302	nm16830001,nm6833072	nm16830003
tt35059764		
tt35251925		
tt3536484		
tt35570431		
tt35616151	nm3125271,nm14173735	nm6668295
tt35676494	nm3745266	nm1309759,nm2948466
tt36009216		
tt3670818		
tt3743398	nm6508785	nm6508785
tt3867874	nm1869964	nm1869964
tt4005566	nm1351971	
tt4087862	nm1028505	
tt4183046	nm2772499	nm2772499
tt4296450	nm0110021,nm2605840,nm0553767	nm1515533,nm2036346,nm2299043,nm1407809
tt4340462		
tt4444434		
tt4570756		
tt4587742		
tt4644120	nm0170888,nm1963675	nm1371751,nm2617432,nm7290903,nm2029143,nm2074535,nm0208370
tt4673854		
tt4865652		
tt4953282	nm7227714	nm7227714
tt5088104	nm0243659,nm7073474	nm1789509,nm1729421
tt5113098	nm7653118	nm7653119
tt5211466		
tt5241308		
tt5284152		
tt5370452	nm1028708	
tt5377798		
tt5445112	nm2828890	nm2176613,nm7367170
tt5581696	nm8022763	nm8022763
tt5602394		
tt5705980	nm8129956	
tt5867862	nm3401094	
tt5967950		
tt6042192	nm1997007	nm7309068
tt6242996	nm0087730	nm0271284,nm0431360,nm0685985
tt6279676		
tt6294554	nm6773498	nm6773498
tt6344256	nm2192454	nm2192454
tt6352726		
tt6355356	nm2634350,nm2423397	nm2216378,nm3067232,nm3595596,nm0651692,nm1559725,nm3950075,nm2692622
tt6357440	nm3577976	nm3577976,nm0277730,nm0004170
tt6815568	nm0031653,nm0736163	nm0466628,nm0535500,nm0836809
tt6924202		
tt6964446		
tt7032714		
tt7129882		nm0053837,nm0486524
tt7271002		
tt7392482	nm9636912	nm6181064
tt7442894		
tt7549844	nm0210454	nm1458246,nm0393937
tt7607400	nm6875068,nm5158437	nm9402074
tt7645030		
tt7652972	nm1337818,nm0483811	
tt7728886	nm7048843	
tt7760922	nm3095000	nm1545599,nm0000230
tt8111264		nm2308322
tt8142172		
tt8230202	nm0328520	nm1628244,nm1628281,nm1891948
tt8277358	nm5402381	nm4478357
tt8382806		
tt8465168	nm0089368,nm0345427,nm0953323	nm0722865
tt8481572	nm0215784,nm0554045,nm0780391,nm0871353	nm0125632,nm0276634,nm0670163,nm0785948
tt8667556		
tt8688932	nm5167651	nm3021924
tt8741732		
tt8785410	nm0567993	nm0949849,nm2196025,nm2452999,nm0166662,nm1018524,nm0572295,nm0068347,nm0068589
tt8794692	nm0136695	nm0624523
tt8798912		nm1188924
tt8869884	nm0551506	nm0551506
tt8888832		
tt8933374		
tt9038020	nm0726386	nm1811360
